Ticker,Name,Description,Price(USD),Start,End,ROI(Pct),Timezone,Duration
SKCH,Skychain,Blockchain infrastructure aimed to host train and use artificial intelligence AI in healthcare,0.0,2018-02-26 00:00:00,2018-03-31 23:59:00,0.0,UTC+1,33 days 23:59:00.000000000
XCLR,Clearcoin,ClearCoin is a technology company that powers the realtime buying and selling of media on decentralized applications and the broader digital environment,0.0,2017-11-16 00:00:01,2018-03-31 23:59:59,-0.9912000000000001,UTC--8,135 days 23:59:58.000000000
FT,Fabric Token,Draganddrop smart contracts,0.0,2018-02-15 10:00:00,2018-04-01 10:00:00,-0.9693,UTC+0,45 days 00:00:00.000000000
TCT,The Coffee Token,First and only global decentralized ecosystem directly connecting coffee producers and consumers using the blockchain technology,0.0,2018-02-14 10:00:00,2018-04-01 10:00:00,0.0,UTC--6,46 days 00:00:00.000000000
TrueCoin,True Reply,True Reply is the future of voicebased datacollection across IoT devices and telephones,0.0,2018-03-01 13:30:00,2018-04-01 13:30:00,0.0,UTC--5,31 days 00:00:00.000000000
IPC,PAYSURA,PAYSURA is providing the International PayReward Coin IPC in order to create a worldwide uniform reward system that applies the advantages of the Blockchain Technology,0.0,2018-03-03 13:00:00,2018-04-02 12:59:59,-0.9882,UTC+0,29 days 23:59:59.000000000
NKR,Nkor,Solving copyright issues forever,0.0,2018-03-03 00:00:00,2018-04-02 23:59:59,0.0,UTC+0,30 days 23:59:59.000000000
,HASHBUX,Decentralized online Gaming EcoSystem for Gamers,0.0,2018-03-26 15:00:00,2018-04-03 14:00:00,0.0,UTC+0,7 days 23:00:00.000000000
BITTO,BITTO Exchange,Bitcoin Exchange with 6 in 1 consisting of LendingStakingSignalReferralBorrowingTrading,0.0,2018-01-16 00:00:00,2018-04-03 23:59:59,0.0,UTC+0,77 days 23:59:59.000000000
ELET,Ether Legends (ELET),Ethereum Based Collectible Trading Card Game driven by the gaming platform token elementeum ELET,0.0,2018-02-15 00:00:00,2018-04-04 00:00:00,0.0,UTC+0,48 days 00:00:00.000000000
AMN,Amon,Enabling crypto spending in everyday life,0.0,2018-03-04 09:00:00,2018-04-04 09:00:00,0.0,UTC+0,31 days 00:00:00.000000000
VST,Vestarin,Cryptocurrency market place for goods and services,0.0,2018-03-05 12:00:00,2018-04-04 12:00:00,0.0,UTC+0,30 days 00:00:00.000000000
THRT,Thrive,Blockchainbased Decentralized Advertising Marketplace,0.0,2018-02-15 10:00:00,2018-04-05 10:00:00,0.0,UTC+0,49 days 00:00:00.000000000
R3S,R3SEC,Moving target defense  ultimate security on blockchain,0.0,2018-03-20 12:00:00,2018-04-05 12:00:00,0.0,UTC+0,16 days 00:00:00.000000000
REPUX,RepuX,RepuXs blockchainbacked platform enables Small and Medium Enterprises SMEs to securely sell their data,0.0,2018-03-06 06:17:00,2018-04-05 17:00:00,0.0,UTC+0,30 days 10:43:00.000000000
,Bank of Hash Power,The blockchain financial system guaranteed by Hash Power enable easiest access to crypto portfolio and trade settlement for EVERYONE,0.0,2018-03-07 00:00:00,2018-04-05 23:59:00,0.0,UTC+0,29 days 23:59:00.000000000
RTM,Renteum,Renteum is going to be the first of its kind to tie its token to realestate in Scandinavia and England,0.0,2018-01-04 00:00:00,2018-04-08 00:00:00,0.0,UTC+1,94 days 00:00:00.000000000
BLS,Bills,Bills is a technology that allows placing advertisements to an outdoor billboard located in any part of the world within a couple of minutes,0.0,2018-03-08 00:00:00,2018-04-08 00:00:00,0.0,UTC+0,31 days 00:00:00.000000000
SAT,Sandblock,Rewarding customers for their loyalty engagement and feedback using cryptocurrencies,0.0,2018-03-21 14:00:00,2018-04-08 15:00:00,0.0,UTC+1,18 days 01:00:00.000000000
VLB,VLB,The number one blockchain fuel for the transport industry,0.0,2018-02-05 12:00:00,2018-04-09 12:00:00,0.0,UTC+0,63 days 00:00:00.000000000
SGN,Signals Network,Data science marketplace to help you discover create and monetize cryptocurrency trading,0.0,2018-03-12 14:00:00,2018-04-09 14:00:00,0.0,UTC+0,28 days 00:00:00.000000000
GZR,Gizer,The real global gaming network,0.0,2018-03-16 12:00:00,2018-04-10 12:00:00,0.0,UTC+0,25 days 00:00:00.000000000
MDTK,MD Tokens,Creating a universal digital payment engine to power a smart secure and efficient healthcare ecosystem accessible anywhere at anytime,0.0,2018-03-10 16:00:00,2018-04-10 16:00:00,0.0,UTC+0,31 days 00:00:00.000000000
CC,CUBAAZ,Travel for a Blockchain Era  Pay for goods and services whiles enjoying great discounts,0.0,2018-01-05 23:59:00,2018-04-10 23:59:00,0.0,UTC+0,95 days 00:00:00.000000000
ONL,On.Live,An open and decentralized platform for video broadcast and remote consultations markets,0.0,2018-03-11 11:00:00,2018-04-11 11:00:00,0.0,UTC+0,31 days 00:00:00.000000000
RXL,RxEAL,The latest way to profit from Real Estate,0.0,2018-03-12 12:00:00,2018-04-11 12:00:00,0.0,UTC+0,30 days 00:00:00.000000000
MLC,FLOGmall,An international ecommerce site created for users  from all over the world who sell and buy various products and services with tokens,0.0,2018-03-22 07:59:00,2018-04-12 07:59:00,0.0,UTC+3,21 days 00:00:00.000000000
MZX,Mosaic,Decentralized Market Intelligence Network for Publishers and Stakeholders,0.0,2018-02-14 20:56:00,2018-04-12 20:56:00,0.0,UTC+0,57 days 00:00:00.000000000
VIOLA,Viola.AI,ViolaAI is the Worlds First AIdriven Marketplace for Dating and Relationships with real business backing of 13 years,0.0,2018-03-14 04:00:00,2018-04-13 04:00:00,0.0,UTC+0,30 days 00:00:00.000000000
iLT,iOlite,iOlite allows anyone to write smart contract using any language natural or programming,0.0,2018-03-27 05:00:00,2018-04-14 00:00:00,0.0,UTC+0,17 days 19:00:00.000000000
SPEND,MoxyOne,Branded debit cards and secure payment infrastructure for all companies and ICOs that issue cryptocurrencies,0.0,2018-03-14 01:00:00,2018-04-14 01:00:00,0.0,UTC+0,31 days 00:00:00.000000000
COTI,COTI,COTI Currency of the Internet spearheading the mass adoption of digital currencies,0.0,2018-03-31 11:00:00,2018-04-14 11:00:00,0.0,UTC+0,14 days 00:00:00.000000000
RTW,RentAway,RentAway is an online global platform the unique rental marketplace that will facilitate rental transactions between private individuals peertopeer and businesses for a wide range of goods equipment and real estate,0.0,2018-03-01 00:00:00,2018-04-15 00:00:00,0.0,UTC+0,45 days 00:00:00.000000000
NCC,NeuroChain,Implementing AI at the heart of the Blockchain,0.0,2018-03-19 08:00:00,2018-04-15 08:00:00,0.0,UTC+0,27 days 00:00:00.000000000
NVB,Native Video Box,An independent video distribution platform with native eco approach to advertising based on machine learning,0.0,2017-12-01 00:00:00,2018-04-15 11:59:59,0.0,UTC+0,135 days 11:59:59.000000000
MDX,Midex,Midex makes cryptocurrency use accessible to business traders and everyday users Midex is a financial ecosystem which encompasses the needs of each economic agent through a fully licensed and encrypted exchange,0.0,2018-01-15 00:00:00,2018-04-15 23:59:59,0.0,UTC+0,90 days 23:59:59.000000000
NODE,Node,Intelligent Technology for Wireless Energy For Private and Commercial Use,0.0,2018-02-15 00:00:00,2018-04-16 00:00:00,0.0,UTC+2,60 days 00:00:00.000000000
BTT,BITETHER,Dapp for gaming tournament and lending platform,0.0,2018-03-16 00:00:00,2018-04-16 00:00:00,0.0,UTC+0,31 days 00:00:00.000000000
BPX,BLOCKPIX,Ecommerce Solution for the Creative and Entertainment Industry,0.0,2018-03-18 12:00:00,2018-04-18 12:00:00,0.0,UTC+2,31 days 00:00:00.000000000
HMT,Hamster Marketplace,Decentralized trading platform for sale of innovative indiegadgets run by manufacturers,0.0,2018-02-19 00:00:00,2018-04-19 00:00:00,0.0,UTC+3,59 days 00:00:00.000000000
MTP,MoneyTap Token,App that allows bank customers to settle transactions instantly,0.0,2018-03-23 08:30:00,2018-04-19 08:30:00,0.0,UTC+0,27 days 00:00:00.000000000
GIFT,Giftcoin,Giftcoin is a groundbreaking new system designed to revolutionise charitable giving,0.0,2018-03-20 09:30:00,2018-04-19 10:00:00,0.0,UTC--5,30 days 00:30:00.000000000
BNE,Benebit,Benebit is a global decentralized ecosystem that enables interaction without borders between brands companies and consumers and is built on Blockchain technology,0.0,2018-01-22 13:00:00,2018-04-19 13:00:00,0.0,UTC+0,87 days 00:00:00.000000000
XYO,XYO Network,With over 1 million locationverifying beacons already in the world XYO is blockchain39s first cryptolocation oracle network,0.0,2018-03-20 00:00:00,2018-04-20 00:00:00,0.0,UTC--8,31 days 00:00:00.000000000
PON,Ponder,A decentralized matchmaking platform revolutionizing how people meet,0.0,2018-02-14 14:00:00,2018-04-20 06:00:00,0.0,UTC+0,64 days 16:00:00.000000000
,BitCar,PeertoPeer exotic car trading platform using Blockchain Technology for precision speed and lowered transaction cost,0.0,2018-01-31 07:00:00,2018-04-20 07:00:00,0.0,UTC+0,79 days 00:00:00.000000000
REXX,Rexpax,Rexpax encourages lending and sharing among neighbors,0.0,2018-03-20 09:00:00,2018-04-20 09:00:00,0.0,UTC--4,31 days 00:00:00.000000000
DHT,DeHedge,RiskHedging Platform for cryptocurrency investors DeHedge helps the investor guard against market volatility,0.0,2018-03-15 11:00:00,2018-04-20 11:00:00,0.0,UTC+0,36 days 00:00:00.000000000
KRL,Kryll.io,Bringing professional trading tools to everyone,0.0,2018-02-07 12:00:00,2018-04-20 12:00:00,0.0,UTC+0,72 days 00:00:00.000000000
AUC,Auctus,Smart Contract Powered Retirement Plans AUCTUS Helps People Plan Ahead of Retirement,0.0,2018-04-10 14:00:00,2018-04-20 14:00:00,0.0,UTC+0,10 days 00:00:00.000000000
XPST,PokerSports,Decentralized  community driven platform that integrates Blockchain iGaming eSports and Fantasy Sports,0.0,2018-02-24 12:00:00,2018-04-21 12:00:00,0.0,UTC--7,56 days 00:00:00.000000000
SMRT,SMRT,The Smart Startup Token project is Making Blockchain Accessible to Startups and Small Businesses,0.0,2018-03-24 14:00:00,2018-04-21 14:00:00,0.0,UTC+1,28 days 00:00:00.000000000
LND,Lendingblock,Fully collateralised borrowing and lending of crypto assets,0.0,2018-04-15 15:00:00,2018-04-22 15:00:00,0.0,UTC+0,7 days 00:00:00.000000000
ALX,ALAX,The Blockchain Appstore Designed for Gamers,0.0,2018-04-17 10:30:00,2018-04-23 10:30:00,0.0,UTC+0,6 days 00:00:00.000000000
SET,FolleX,Global Cryptocurrency Exchange and interactive Social platform,0.0,2018-03-23 12:00:00,2018-04-23 12:00:00,0.0,UTC+0,31 days 00:00:00.000000000
OTC,Otcrit,Advanced Cryptocurrency Exchange and Informational Marketplace,0.07,2018-02-15 18:00:00,2018-04-23 18:00:00,-0.7236,UTC+1,67 days 00:00:00.000000000
PAT,Bitnation,Pangea Arbitration Token PAT powers the Pangea Jurisdiction,0.0,2018-03-25 12:00:00,2018-04-24 11:00:00,0.0,UTC+0,29 days 23:00:00.000000000
CQT,Checqit,The Smartest Decentralized Peertopeer lending platform,0.0,2018-03-24 12:00:00,2018-04-24 11:59:00,0.0,UTC--5,30 days 23:59:00.000000000
GLU,Gluon,Gluons platform establishes an interconnected network of vehicles and owners for diagnostics,0.0,2018-03-27 00:00:00,2018-04-27 14:59:00,0.0,UTC--7,31 days 14:59:00.000000000
DAPG,DapCash,First postquantum crypto currency with multiple blockchain,0.0,2018-02-21 00:00:00,2018-04-28 00:00:00,0.0,UTC+7,66 days 00:00:00.000000000
ASTOR,AstorGame,eSport  Online Gaming platform  Decentralized games Sports Betting and Casino using blockchain smart contracts  Provably Fair,0.0,2018-01-29 00:00:00,2018-04-29 00:00:00,0.0,UTC+0,90 days 00:00:00.000000000
CJT,Connectjob,ConnectJob ultimately connects jobs to people and people to jobs using the power of blockchain technology,0.0,2017-12-01 00:00:00,2018-04-30 00:00:00,-0.9981,UTC+0,150 days 00:00:00.000000000
XLS,Galaxis,A platform with optional private  smart contracts and feeless transactions,0.0,2018-03-01 00:00:00,2018-04-30 00:00:00,0.0,UTC--5,60 days 00:00:00.000000000
CRL,Corl,Revenue sharing on the blockchain A regular stream of quarterly profit payments,0.0,2018-04-01 06:56:00,2018-04-30 06:56:00,0.0,UTC+0,29 days 00:00:00.000000000
FIC,FloraFIC,Applied technology of AI and blockchain to work together via the smart FIC application,0.0,2018-03-08 12:00:00,2018-04-30 11:59:00,0.0,UTC+7,52 days 23:59:00.000000000
ROX,Robotina,Internet Of Things Artificial Intelligence  Blockchain empowering energy consumers,0.0,2018-03-21 15:30:00,2018-04-30 14:59:00,0.0,UTC+1,39 days 23:29:00.000000000
FOXT,Fox Trading,Exclusive Trading Service for Forex and Cryptocurrencies for maximized earnings,0.0,2018-03-10 15:00:00,2018-04-30 15:00:00,0.0,UTC+1,51 days 00:00:00.000000000
CRL,Cryptelo,Platform for encrypted data sharing,0.0,2018-03-15 17:00:00,2018-04-30 17:00:00,0.0,UTC+0,46 days 00:00:00.000000000
CRTL,Cartel Chain,A seamless ecommerce continuum Eliminating middle men reducing global carbon emissions and more,0.0,2018-03-11 00:00:00,2018-04-30 23:59:00,0.0,UTC+7,50 days 23:59:00.000000000
MCU,MediChain.Online,MediChain will bring better health to patients with the help of blockchain technology,0.0,2018-03-01 00:00:00,2018-04-30 23:59:00,0.0,UTC+0,60 days 23:59:00.000000000
TCO,ThinkCoin,ThinkCoin is a Multi Asset Trading which leverages blockhain technology to ensure that investors get optimal returns,0.0,2018-04-17 00:00:00,2018-04-30 23:59:00,0.0,UTC+0,13 days 23:59:00.000000000
WIIX,WIIX,Innovations Global Opportunites and a new World with Blockchain Technology,0.0,2018-04-01 00:00:00,2018-04-30 23:59:00,0.0,UTC--5,29 days 23:59:00.000000000
ETY,Etherty,Platform that utilizes blockchain technology to provide a onestop solution for the purchase sale and crowdsale of real estate globally,0.0,2018-03-15 00:00:00,2018-04-30 23:59:00,0.0,UTC+0,46 days 23:59:00.000000000
IPS,IPStock,IPStock implements visual digital content registry on blockchain and license management through smartcontracts,0.0,2018-04-01 00:00:00,2018-04-30 23:59:00,0.0,UTC+1,29 days 23:59:00.000000000
EEE,Elementh,Elementh is a blockchain designed for the ecommerce market,0.0,2018-04-01 00:00:00,2018-05-01 00:00:00,0.0,UTC+0,30 days 00:00:00.000000000
DNN,Decentralized News Network,DNN is a Political News Platform Fighting Fake News and Combating Censorship,0.0,2018-04-03 00:00:00,2018-05-01 00:00:00,0.0,UTC+0,28 days 00:00:00.000000000
KRC,Kerberos Coin,Altcoin Mining Operation Using Smart Contracts  Based On the Ethereum Blockchain,0.0,2018-04-01 12:00:00,2018-05-01 12:00:00,0.0,UTC+0,30 days 00:00:00.000000000
PMNT,Paymon,Paymon is a blockchain platform that connect all market participants through new scalable blockchain  Hive,0.0,2018-03-30 14:00:00,2018-05-03 23:00:00,0.0,UTC+1,34 days 09:00:00.000000000
CEEK,CEEK,Virtual Reality platform for streamed live events and productions making use of Blockchain Technology,0.0,2018-04-16 05:01:00,2018-05-04 04:59:00,0.0,UTC+0,17 days 23:58:00.000000000
NKL,Nickelcoin,Deploying Blockchain tehnology to Customers Loyalty Rewards,0.0,2018-04-26 12:00:00,2018-05-07 12:00:00,0.0,UTC+0,11 days 00:00:00.000000000
