rank_cnc,Name,ticker,market_cap,price,volume24,pct1h,pct24h,pct7d
167, Aave,LEND,"19,686,543",0.017447,"1,404,001",0.88,8.17,36.69
168, BHPCoin,BHP,"18,880,914",0.951496,"13,530,348",-0.43,-3.88,-11.54
169, CRYPTO20,C20,"18,615,391",0.461364,"1,396",-0.13,-5.52,-5.24
170, Cortex,CTXC,"18,503,907",0.123530,"19,834,554",-5.85,70.15,60.52
171, Storj,STORJ,"18,475,866",0.136065,"3,018,538",-0.6,0.27,-3.56
172, Metal,MTL,"18,327,298",0.345904,"2,924,099",-0.01,-0.65,-3.64
173, Nexus,NXS,"17,891,696",0.276653,"87,647",-0.02,-2.0,-3.96
174, Dent,DENT,"17,607,816",0.000231,"220,500",-3.08,-3.18,-9.21
175, Robotina,ROX,"17,580,976",0.057878,"123,936",-0.25,0.93,1.11
176, Gnosis,GNO,"17,292,126",15.65,"26,756",-0.28,-1.62,-1.60
177, BitKan,KAN,"17,122,266",0.002805,"7,633,989",-0.24,0.04,-2.46
178, Binance USD,BUSD,"16,771,373",1.01,"5,900,244",-0.01,0.47,0.44
179, Groestlcoin,GRS,"16,615,592",0.225138,"878,064",-0.33,0.04,-1.50
180, Streamit Coin,STREAM,"16,612,389",2.67,"684,258",0.17,0.17,-2.77
181, CyberMiles,CMT,"16,150,161",0.020188,"8,676,951",-1.36,5.59,1.13
182, Bibox Token,BIX,"16,131,141",0.150495,"3,238,613",-1.01,-0.61,-2.02
183, Dentacoin,DCN,"15,886,123",0.000029,"147,215",-1.73,-2.38,-26.04
184, Cocos-BCX,COCOS,"15,611,108",0.000993,"2,512,600",-0.18,-0.69,-9.31
185, Fusion,FSN,"15,607,024",0.441940,"3,023,433",-0.91,-39.47,19.41
186, Constellation,DAG,"15,596,920",0.017956,"1,886,997",-0.87,3.23,-20.01
187, Eidoo,EDO,"15,574,676",0.299809,"204,312",-0.27,0.27,-0.37
188, Credits,CS,"15,503,435",0.083360,"6,963,461",-0.18,-3.6,-2.96
189, Divi,DIVI,"15,351,839",0.011355,"177,043",-1.22,10.11,9.02
190, Gas,GAS,"15,226,936",1.50,"1,857,638",-0.19,-4.89,-1.67
191, Diamond Platf...,DPT,"15,036,391",12.87,"14,658",-0.26,1.63,0.65
192, MediBloc [ERC20],MEDX,"14,975,496",0.004360,"327,298",0.48,-0.26,-1.34
193, Wirex Token,WXT,"14,741,550",0.013401,"3,699,670",-0.29,-4.11,1.55
194, Harmony,ONE,"14,301,546",0.005504,"1,753,738",-1.12,-3.59,-8.24
195, Syscoin,SYS,"14,252,053",0.025014,"898,758",0.21,-1.46,-3.69
196, Cindicator,CND,"14,241,283",0.007870,"23,701",-0.64,-2.44,0.91
197, Elrond,ERD,"14,071,665",0.002030,"3,724,293",-0.4,-1.28,-2.05
198, Aladdin,ADN,"14,019,616",0.000447,"3,608,018",-0.09,-2.51,-5.01
199, PIVX,PIVX,"13,916,549",0.245091,"404,503",-0.65,0.67,0.19
200, Celer Network,CELR,"13,865,373",0.004090,"3,597,611",-0.11,-2.3,-6.42
201, INO COIN,INO,"358,048,197",1.99,"5,467",-0.11,-1.06,-1.36
202, PRIZM,PZM,"266,232,550",0.691332,"249,719",0.0,-0.35,-10.93
203, MEXC Token,MEXC,"226,695,964",0.246389,"375,053",0.28,2.51,13.72
204, Insight Chain,INB,"217,034,928",0.620272,"10,158,581",-0.15,-3.62,-15.87
205, MINDOL,MIN,"175,479,284",1.24,"3,545,224",-10.54,-17.35,33.06
206, ThoreNext,THX,"170,581,743",7.88,"128,660",-0.2,3.38,-4.34
207, ThoreCoin,THR,"142,594,677","1,644.96","151,145",-0.2,-1.03,-6.05
208, Mixin,XIN,"122,080,263",263.43,"41,402,198",1.78,0.2,0.33
209, Cryptonex,CNX,"110,281,653",1.98,"2,313,789",-0.13,-1.37,-2.82
210, Maximine Coin,MXM,"99,260,315",0.060194,"1,090",0.25,48.23,179.95
211, GAPS,GAP,"78,389,012",7.84,"1,928,714",0.11,0.18,-2.38
212, Dimension Chain,EON,"77,744,239",0.317604,"9,262,723",-0.71,1.03,-5.46
213, Bitbook Gambling,BXK,"73,853,427",0.200478,"896,373",-0.06,1.0,-1.37
214, Beldex,BDX,"68,312,625",0.069691,"949,140",-4.1,5.83,2.39
215, OKB,OKB,"65,763,239",3.29,"97,683,886",-0.7,-0.82,-0.67
216, Flexacoin,FXC,"52,281,865",0.002463,"19,219",-1.47,2.03,-0.26
217, MineBee,MB,"49,324,299",0.026951,"772,236",-0.18,-3.24,-2.71
218, Veritaseum,VERI,"44,768,330",20.83,"28,531",-0.13,6.82,7.10
219, NEXT,NET,"43,383,230",1.07,"732,239",0.51,-2.63,7.06
220, Breezecoin,BRZE,"43,119,045",0.431190,"120,248",-0.19,-0.01,-6.79
221, Clipper Coin,CCCX,"40,315,785",0.013698,0,0.0,0.0,0.00
222, Cryptoindex.c...,CIX100,"40,221,743",0.644478,"72,893",-0.24,-1.39,-5.37
223, BitForex Token,BF,"40,152,369",0.009444,"4,492,921",-0.14,-0.02,-13.18
224, VestChain,VEST,"39,604,075",0.005595,"271,999",-0.25,-5.91,6.44
225, MX Token,MX,"38,794,183",0.174784,"16,243,989",-0.83,-4.85,-2.89
226, CryptoVerific...,CVCC,"37,887,421",65.03,"146,222",-0.2,-1.29,0.50
227, Dynamic Tradi...,DTR,"37,033,687",0.024369,"31,832",-0.2,1.47,4.54
228, Buggyra Coin ...,BCZERO,"36,121,430",0.017964,"34,275",-0.17,0.88,-3.69
229, botXcoin,BOTX,"36,048,968",0.022093,"367,760",-0.13,-0.23,1.87
