,Name,Compound,Description,Duration,End,Negative,Neutral,Positive,Price(USD),ROI(Pct),Start,Ticker,Timezone
i,MoneyToken,0.7107333333333333,,,,0.0,0.8293333333333334,0.17066666666666666,,,,,
i,TopiaCoin,,,,,,,,,,,,
i,StasyQ,0.296,,,,0.091,0.794,0.115,,,,,
i,Cultural Places,0.50828,,,,0.0058000000000000005,0.8512000000000001,0.14300000000000002,,,,,
i,Etheera,,,,,,,,,,,,
i,Safinus,,,,,,,,,,,,
i,EOS,0.33553,,,,0.00765,0.8634999999999999,0.12885,,,,,
i,Kora Network,,,,,,,,,,,,
i,BitMinutes,0.0,,,,0.0,1.0,0.0,,,,,
i,Gamblica,,,,,,,,,,,,
i,Transcodium,0.0,,,,0.0,1.0,0.0,,,,,
i,Virtonomics,,,,,,,,,,,,
i,FCFL,0.07962000000000002,,,,0.05473333333333333,0.8649333333333332,0.08033333333333334,,,,,
i,Successlife,0.239145,,,,0.004200000000000001,0.9167,0.0791,,,,,
i,Cool Cousin,-0.28963333333333335,,,,0.07033333333333333,0.9296666666666668,0.0,,,,,
i,STeX Exchange,0.15329375,,,,0.0031875,0.9428749999999999,0.05393750000000001,,,,,
i,BitProperty,,,,,,,,,,,,
i,BITRUST,,,,,,,,,,,,
i,Jointedu,,,,,,,,,,,,
i,Birdchain,0.6103923076923076,,,,0.0,0.7505384615384615,0.2494615384615385,,,,,
i,DIW Token,,,,,,,,,,,,
i,GoChain,0.0,,,,0.0,1.0,0.0,,,,,
i,Iryo,0.0,,,,0.0,1.0,0.0,,,,,
i,Zuflo.IO,0.4696,,,,0.0,0.887,0.11299999999999999,,,,,
i,Adblurb,,,,,,,,,,,,
i,DateCoin,,,,,,,,,,,,
i,Xsolus,,,,,,,,,,,,
i,TransCrypt,,,,,,,,,,,,
i,Coinadvisor,,,,,,,,,,,,
i,MobileBridge,,,,,,,,,,,,
i,BunnyToken,,,,,,,,,,,,
i,SMOKE,0.003184999999999999,,,,0.011600000000000001,0.9804,0.00795,,,,,
i,GraphGrail AI,,,,,,,,,,,,
i,Mass Vehicle Ledger,,,,,,,,,,,,
i,Rentything,,,,,,,,,,,,
i,Crowd Machine,,,,,,,,,,,,
i,LikeCoin,0.3802,,,,0.0,0.943,0.057,,,,,
i,Unibright,0.10168999999999999,,,,0.0,0.9717500000000001,0.028249999999999997,,,,,
i,WindEnergyMining,,,,,,,,,,,,
i,FrYA,0.0,,,,0.0,1.0,0.0,,,,,
i,Mira,0.111645,,,,0.0,0.9554500000000001,0.04455,,,,,
i,DreamTeam,0.40541499999999997,,,,0.00295,0.8723500000000002,0.12465000000000001,,,,,
i,Goldiam,0.28815625,,,,0.032875,0.8745625,0.0925625,,,,,
i,WorldWiFi,0.0,,,,0.0,1.0,0.0,,,,,
i,Synthestech,,,,,,,,,,,,
i,Worldopoly,,,,,,,,,,,,
i,SMARTRealty,,,,,,,,,,,,
i,Spindle,0.060614999999999995,,,,0.0,0.98675,0.013250000000000001,,,,,
i,CargoCoin,,,,,,,,,,,,
i,Brickblock,-0.6688,,,,0.152,0.848,0.0,,,,,
i,eMarketChain,,,,,,,,,,,,
i,FIC Network,,,,,,,,,,,,
i,Arcona,0.1906,,,,0.015,0.9255,0.059500000000000004,,,,,
i,Ambit,0.3229,,,,0.0038,0.8603999999999999,0.13575,,,,,
i,Lunes Platform,0.0,,,,0.0,1.0,0.0,,,,,
i,BitGuild,0.7206,,,,0.0,0.86,0.14,,,,,
i,Shivom,0.224255,,,,0.028849999999999997,0.8747999999999998,0.09640000000000001,,,,,
i,Nexusless,,,,,,,,,,,,
