rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,custom_index,custom_index_scaled,success
77, Aeternity,AE,"67,699,269",0.232707,"53,450,389",-0.25,-2.76,-2.7,Bulgaria,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-06-09 18:30:51,2017-05-29 00:00:36,11 days 18:30:15.000000000,0 days 00:00:00.000000000,0.171648,0.03718,0.91432,0.04855,100,890,207.10922999999997,0.00018494970654530843,0
78, MCO,MCO,"67,656,969",4.28,"11,463,179",-0.16,-4.84,-1.41,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-06-18 12:30:00,2017-05-18 12:30:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.591653,0.01564,0.90885,0.07558,100,881,3770.6800000000003,0.0033672387191771946,1
82, iExec RLC,RLC,"57,487,535",0.717959,"793,957",-0.16,-4.04,7.69,France,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,5.0,Trading,ICO,2017-04-12 12:00:00,2017-03-12 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.72845,0.0125,0.9585,0.028999999999999998,2,948,680.6251320000001,0.0006078021064265313,0
87, Enjin Coin,ENJ,"52,400,269",0.066785,"3,419,041",1.29,7.42,2.44,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2017-10-31 23:00:00,2017-10-03 12:00:00,28 days 11:00:00.000000000,0 days 00:00:00.000000000,0.549458,0.08134,0.03545,0.8832200000000001,100,746,49.82161,4.449096522809327e-05,0
92, Status,SNT,"44,910,334",0.012941,"185,829,000",0.36,-1.13,-4.28,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-06-21 18:00:00,2017-06-20 18:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.389894,0.03578,0.8836299999999999,0.08048,100,878,11.362198,1.0146491064645442e-05,0
94, Golem,GNT,"44,557,248",0.045464,"4,200,621",0.14,-0.19,1.17,Poland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2016-11-14 00:00:00,2016-11-13 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.9066,0.0256,0.852,0.1226,5,1097,49.874007999999996,4.4537756940801106e-05,0
97, Crypterium,CRPT,"42,022,798",0.495624,"254,111",-0.37,-5.39,-4.26,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2018-01-13 03:59:59,2017-10-31 14:00:00,73 days 13:59:59.000000000,0 days 00:00:00.000000000,0.3723,0.08675,0.04875,0.86425,4,672,333.05932800000005,0.0002974238620691819,0
104, GXChain,GXC,"38,981,411",0.599714,"26,463,284",-0.41,2.38,4.6,South Korea,EOS,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Upcoming,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.188866667,0.012666667,0.014333333,0.972666667,3,779,467.177206,0.00041719189169551747,0
105, Metaverse ETP,ETP,"37,395,641",0.485766,"6,541,898",-0.95,-1.34,20.27,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.2,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.750944,0.09368,0.01624,0.89008,25,779,378.411714,0.0003379238013097431,0
109, Electroneum,ETN,"35,684,061",0.003610,"888,485",0.01,-0.83,-2.45,United Kingdom,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-10-23 12:00:00,2017-09-14 12:00:00,39 days 00:00:00.000000000,0 days 00:00:00.000000000,0.73638,0.0738,0.0234,0.9026,5,754,2.72194,2.430691414704786e-06,0
