price,country,platform,End,Start,compound,negative,neutral,positive,no_of_posts,success
0.01,Singapore,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.445945455,0.060545455,0.036090909,0.903454545,11,0
0.14,,Blockchain,9/28/2017 3:00,9/28/2017 3:00,0.325,0.0355,0.8795,0.085,2,0
0.00,Romania,Ethereum,9/28/2017 3:00,9/28/2017 3:00,-0.085433333,0.014,0.007333333,0.978666667,3,0
0.03,Hong Kong,Ethereum,9/30/2018 23:59,9/1/2018 0:00,-0.7964,0.005,0.027,0.968,1,0
0.01,Israel,Ethereum,8/17/2017 18:00,7/17/2017 18:00,0,0,0,0,0,0
0.16,Cyprus,Ethereum,9/20/2017 3:00,9/12/2017 3:00,0.00495,0.074,0.071,0.8555,2,0
0.02,Switzerland,Ethereum,11/20/2017 17:00,11/2/2017 17:00,0.6707,0.011388889,0.906555556,0.082111111,18,0
0.01,Switzerland,Ethereum,1/18/2018 6:00,11/18/2017 6:00,0.478156,0.10751,0.05809,0.83443,100,0
0.01,,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.7862,0,0.997,0.003,1,0
0.01,Switzerland,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.7531,0.024,0.012,0.964,1,0
0.01,,Ethereum,1/13/2018 0:00,12/14/2017 0:00,0.2263,0.006,0,0.994,1,0
0.06,Ukraine,Ethereum,2/15/2018 0:00,1/15/2018 0:00,-0.1645,0.013,0.016,0.9715,2,0
0.34,Singapore,Ethereum,8/30/2017 3:00,7/24/2017 3:00,0.6486,0.017,0.005,0.978,1,0
0.02,Czech Republic,Ethereum,11/14/2018 0:00,9/26/2018 0:00,0.817166667,0.053166667,0.8305,0.116,6,0
0.03,Singapore,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.65011875,0.027875,0.8610625,0.1111875,16,0
0.07,Hong Kong,Own Blockchain,9/28/2017 3:00,9/28/2017 3:00,0.8481,0.173,0,0.827,1,0
0.01,Cyprus,Ethereum,5/29/2018 23:59,3/6/2018 0:00,0.591584,0.10657,0.04569,0.84775,100,0
0.08,Russia,Ethereum,6/30/2017 11:00,6/30/2017 3:00,0.8224,0.162,0,0.838,3,0
0.05,Netherlands,Own Blockchain,9/28/2017 3:00,9/28/2017 3:00,0.684141,0.09542,0.0355,0.86912,100,0
0.14,Australia,Waves,1/4/2017 15:00,10/1/2016 4:00,-0.46455,0.027,0.9665,0.0065,2,0
0.01,United Kingdom,Ethereum,2/20/2018 0:00,1/30/2018 0:00,0.363816667,0.014833333,0.008,0.977166667,6,0
0.81,Singapore,Ethereum,4/27/2017 13:00,3/27/2017 12:00,-0.0772,0.008,0.986,0.007,1,0
0.03,Singapore,Ethereum,9/28/2017 3:00,9/28/2017 3:00,-0.5719,0.004,0.016,0.98,1,0
0.00,Singapore,Ethereum,3/12/2018 0:00,11/27/2017 0:00,0.1419,0.005,0.951333333,0.043666667,3,0
0.00,,,9/28/2017 3:00,9/28/2017 3:00,0.507205,0.08938,0.05869,0.85185,100,0
0.03,United Kingdom,Ethereum,12/6/2017 0:00,11/28/2017 18:00,0.126975,0.00925,0.0075,0.98325,4,0
0.19,Russia,Ethereum,12/25/2017 11:00,12/4/2017 11:00,0.863118,0.02882,0.85658,0.11456,100,0
0.00,Canada,Ethereum,9/26/2017 3:00,9/12/2017 3:00,0.544416667,0.051277778,0.858166667,0.090666667,18,0
0.10,Switzerland,Ethereum,9/2/2018 23:59,9/2/2018 0:00,0.250957333,0.0496,0.87568,0.074693333,75,0
0.24,,,1/4/2018 12:00,12/4/2017 12:00,0.188725,0.046,0.88,0.074,4,0
0.10,Cayman Islands,Ethereum,5/10/2018 0:00,4/10/2018 0:00,0.029955,0.0252,0.01895,0.95585,20,0
0.01,Estonia,Ethereum,9/30/2018 12:00,6/19/2018 9:00,0.37655,0.01,0.97775,0.0125,4,0
0.03,Slovenia,Ethereum,5/8/2018 11:00,4/17/2018 11:00,-0.22319,0.073,0.8571,0.0703,10,0
0.00,United States of America,Ethereum,1/28/2018 0:00,1/1/2018 0:00,0,0,0,0,0,0
0.01,United States of America,Ethereum,10/3/2016 0:00,10/2/2016 0:00,0,0,0,0,0,0
0.01,Romania,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.974,0.021,0.888,0.0905,2,0
0.00,United Kingdom,Ethereum,3/6/2018 0:00,2/6/2018 0:00,0,0,0,0,0,0
2.30,United States of America,Ethereum,7/31/2018 10:59,4/30/2018 23:00,0.7862,0,0.997,0.003,1,0
0.10,Mexico,Ethereum,5/12/2018 0:00,3/17/2018 0:00,0.453671429,0.062142857,0.875714286,0.062,7,0
0.57,Russia,Waves,4/25/2018 12:00,7/25/2017 12:00,0.571553,0.04279,0.83662,0.12052,100,0
0.01,Lithuania,Ethereum,8/31/2017 15:18,8/31/2017 15:00,0.0772,0.015,0.97,0.016,1,0
46.45,Canada,Ethereum,5/31/2018 22:59,5/1/2018 0:00,0.659622388,0.100776119,0.043880597,0.855238806,67,1
0.01,United States of America,Ethereum,2/21/2018 0:00,2/8/2018 0:00,0.991466667,0.113333333,0.042,0.844666667,3,0
0.00,Malta,Stellar,3/24/2019 0:00,2/16/2019 12:00,0.578818,0.03027,0.88496,0.0848,100,0
0.01,Liechtenstein,,12/23/2016 0:00,11/27/2016 0:00,0.166271622,0.075459459,0.049689189,0.874878378,74,0
0.01,Russia,Ethereum,7/25/2017 12:00,6/25/2017 12:00,-0.190466667,0.092444444,0.811777778,0.095777778,9,0
0.03,Singapore,Ethereum,7/26/2017 16:00,6/29/2017 16:00,0.670543,0.11032,0.0448,0.84483,100,0
0.00,Denmark,,10/24/2018 0:00,10/24/2017 0:00,0.343957,0.03457,0.01329,0.95214,100,0
1.17,Russia,Ethereum,11/15/2017 12:00,10/15/2017 12:00,0.881761,0.02632,0.84867,0.12507,100,0
0.01,Mexico,Ethereum,2/28/2018 0:00,1/29/2018 0:00,0.535257143,0.062571429,0.823321429,0.11425,28,0
0.01,Switzerland,Ethereum,1/10/2018 0:00,12/7/2017 0:00,0.14555,0.0105,0.9775,0.012,2,0
0.01,Japan,Ethereum,5/15/2018 6:00,3/20/2018 6:00,0.504947,0.08211,0.03109,0.88684,100,0
0.01,Gibraltar,Ethereum,2/2/2018 0:00,2/1/2018 0:00,0.2263,0,0.994,0.006,1,0
