ticker,compound,negative,neutral,positive,no_of_posts
DMC,0.9999,0.03,0.82,0.15,1
DMT,0.453671429,0.062142857,0.875714286,0.062,7
DNC,-0.9998,0.099,0.822,0.079,2
DNN,0.493647,0.03005,0.90256,0.06735,100
DNO,0,0,0,0,0
DNT,0.99845,0.023,0.8235,0.1535,2
DOM,0.470572727,0.041636364,0.886909091,0.071363636,11
DREAM,0.711667,0.05104,0.82451,0.12442,100
DRG,0.494251,0.05125,0.84982,0.09893,100
DRP,0,0,0,0,0
DRT,0.5719,0,0.985,0.015,1
DSR,0.98975,0.023,0.864,0.1125,2
DTC,0.41295,0.013,0.937125,0.05,8
DTCT,0,0,0,0,0
DTH,-0.18415,0.022,0.963,0.015,2
DTN,0.24355,0,0.992,0.008,2
DTT,0.824143,0.02734,0.86419,0.10844,100
DTX,0.420065,0.03505,0.90115,0.0638,20
DZC,0.413715,0.0309,0.89198,0.07713,100
EBET,0,0,0,0,0
ECHT,0.253286207,0.055793103,0.860068966,0.084206897,29
ECOB,0,0,0,0,0
EDG,-0.0772,0.007,0.987,0.006,1
EDO,0.0857,0.015,0.971,0.014,1
EDU,0.533132143,0.044678571,0.870821429,0.084535714,28
EEE,0.9785,0.025,0.944,0.031,1
EGL,0.9988,0.0105,0.9415,0.048,2
ELA,-0.173166667,0.011333333,0.979666667,0.009,3
ELEC,0,0,0,0,0
ELET,0,0,0,0,0
ELI,-0.22319,0.073,0.8571,0.0703,10
EMAC,0.3462,0.003666667,0.986,0.010333333,3
ENO,0,0,1,0,0
EO,0.09554,0.0714,0.8284,0.1002,5
EON,0.09434,0.032,0.9324,0.0356,5
EOS,0.82847,0.0322,0.85855,0.10927,100
EQUI,0,0,0,0,0
ESB,0,0,0,0,0
ESC,0.01315,0.0565,0.8625,0.08075,4
ESCAPE,0.431777966,0.07220339,0.823949153,0.103728814,59
ESS,0.8289625,0.023,0.903625,0.073375,8
ETA,0.66075,0.069,0.819,0.112,2
ETB,0.9671,0.019,0.91,0.071,1
ETD,0,0,0,0,0
ETK,0,0,0,0,0
ETT,0.9998,0.019,0.869,0.112,1
ETY,0,0,0,0,0
EVC,0.123233333,0.009333333,0.979,0.011666667,3
EVN,0.3612,0.007,0.977,0.016,1
EdToken,0,0,0,0,0
Eroiy,0,0,0,0,0
Ethix,0.65054,0.040178947,0.862157895,0.097663158,95
FAN,0.755135,0.03972,0.82588,0.13432,100
FANZ,0,0,0,0,0
FDM,0.391184,0.03787,0.87837,0.08369,100
FIC,0,0,0,0,0
FIL,0.4786,0.0435,0.8905,0.06575,4
FLEX,0.831153333,0.045933333,0.847666667,0.106333333,15
FLIX,0.9999,0.021,0.881,0.097,1
FLP,0,0,0,0,0
FMT,0.360567,0.03885,0.87727,0.08388,100
FNT,0.530635,0.06325,0.81784,0.11893,100
FOXT,0.463989,0.02809,0.89803,0.07383,100
FPT,0,0,0,0,0
FRYA,0,0,0,0,0
FSBT,0.521053488,0.060232558,0.856534884,0.083069767,43
FSN,0.345775,0.0305,0.915916667,0.0535,12
FT,0.473249,0.0243,0.90195,0.07375,100
FTEC,0,0,0,0,0
FUNDZ,0,0,0,0,0
FXT,0.556166667,0.035,0.901,0.064,3
FYN,0,0,0,0,0
FYP,-0.527233333,0.019666667,0.972333333,0.007333333,3
FYS,0,0,0,0,0
GAI,0.725695,0.02344,0.87958,0.09699,100
GANA,0,0,0,0,0
GAT,0.19952,0.0536,0.8482,0.0982,5
GBO,0,0,0,0,0
GBT,-0.991,0.124,0.8035,0.0725,2
GBX,0.261485714,0.013142857,0.969285714,0.017714286,7
GEE,0.25072,0.0648,0.835,0.1001,10
GES,0,0,0,0,0
GIF,0.778873333,0.032466667,0.8664,0.101333333,15
GIFT,0.759417021,0.03787234,0.827542553,0.13456383,94
GIL,0.92775,0.027,0.859,0.114,2
GIVE,0.435009677,0.062709677,0.822741935,0.114483871,31
GIZA,0.563919,0.04723,0.84701,0.10569,100
GLU,0,0,0,0,0
GMBC,0,0,0,0,0
GNO,0.615333333,0.034111111,0.886777778,0.079222222,9
GNT,0.9066,0.0256,0.852,0.1226,5
GNY,-0.3612,0.011,0.985,0.005,1
GOC,0.5803,0.024,0.941,0.035,1
GOL,0.34,0,0.992,0.008,2
GOT,0.471397,0.05956,0.82675,0.11367,100
GRAM,0.668881081,0.041756757,0.863837838,0.094405405,37
GREM+GRET,0.26858,0.0506,0.8662,0.0826,5
GVT,0.881761,0.02632,0.84867,0.12507,100
GZR,0,0,0,0,0
Golos,0.556771429,0.013571429,0.934285714,0.052142857,7
HAV,-0.2263,0.017,0.97,0.012,1
HAW,0.789851,0.03491,0.86166,0.10331,100
HAWK,0.1052,0.0802,0.798,0.1216,5
HBT,0.615841,0.0315,0.87847,0.08996,100
HBZ,0.399923,0.03092,0.89473,0.07435,100
HCT,0.994033333,0.032,0.853,0.115333333,3
HDG,0.473249,0.0243,0.90195,0.07375,100
HIG,0.576909,0.04597,0.84755,0.10646,100
HION,0,0,0,0,0
HIVE,0.181854545,0.077181818,0.841454545,0.081090909,11
HMQ,0.0772,0.011,0.977,0.012,1
HMT,0.778058,0.03426,0.85825,0.10742,100
HQX,0.5737,0.0025,0.9905,0.007,2
HUR,0.309,0.02,0.917,0.0635,2
HVN,0.119041667,0.072166667,0.852833333,0.07475,12
HYB,0.736656,0.04556,0.84071,0.11364,100
HYBRID,0.383207,0.02978,0.89743,0.07281,100
IAM,0.712904,0.04293,0.84898,0.10817,100
IBET,0,0,0,0,0
IC,0.413715,0.0309,0.89198,0.07713,100
ICN,0,0,0,0,0
ICOS,0.387852,0.05489,0.8475,0.09753,100
ICS,-0.1013,0.049,0.902,0.049,2
ICST,0,0,0,0,0
IDH,0.12925,0.01,0.977,0.0125,2
IMT,-0.53855,0.0725,0.879,0.049,2
IMVR,0,0,0,0,0
INCNT,-0.46455,0.027,0.9665,0.0065,2
ING,0.344071429,0.0395,0.894285714,0.066357143,14
INS,0.863118,0.02882,0.85658,0.11456,100
INSP,0,0,0,0,0
INV,0.800425,0.03772,0.84951,0.11275,100
IOTW,0.15175,0.0055,0.9855,0.009,2
IPC,0.061844,0.0334,0.93236,0.03428,25
IPS,0.407455556,0.042888889,0.890703704,0.066444444,27
IPSX,0.762493,0.03286,0.86203,0.10506,100
IRYO,0,0,0,0,0
ITM,0.9998,0.037,0.865,0.099,1
IVC,0,0,0,0,0
IXT,0.0772,0.011,0.977,0.012,1
J8T,0.5859,0,0.866,0.134,1
JBX,0,0,0,0,0
JNT,0.615841,0.0315,0.87847,0.08996,100
JOI,0,0,0,0,0
JOY,0.473249,0.0243,0.90195,0.07375,100
JUL,0.2718625,0.03225,0.885375,0.0825,8
K2G,0,0,0,0,0
