rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,success_PCA
2046.0, DAD Chain,DAD,0,5.71,4101921,11.87,-3.3,-8.93,Hong Kong,NEO,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Upcoming,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,28,0,0.4786,0.0435,0.8905,0.06575,4.0,800.0,0
645.0, BlockStamp,BST,2481428,0.163868,5405,15.02,-6.24,-7.85,Seychelles,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Closed,ICO,2017-12-15 16:00:00,2017-11-15 16:00:00,14,0,0.615841,0.0315,0.8784700000000001,0.08996,100.0,800.0,0
994.0, Atlantis Blue...,ABDT,685148,0.11419100000000001,12854,-3.03,-5.84,-8.1,Hong Kong,Stellar,2018-04-25 00:00:00,2018-04-01 00:00:00,4.3,Closed,ICO,2018-06-20 00:00:00,2018-05-11 00:00:00,0,24,0.65645,0.0075,0.91725,0.07475,4.0,801.0,0
433.0, Digix Gold Token,DGX,5529077,0.01374,143996,0.07,-1.03,-4.73,Canada,Ethereum,2018-04-30 22:59:59,2018-03-21 00:00:00,4.6,Closed,ICO,2018-05-31 22:59:59,2018-05-01 00:00:00,0,40,0.0772,0.015,0.97,0.016,1.0,807.0,0
357.0, Origo,OGO,7617029,0.335552,2179744,-0.59,-1.72,-5.49,Czech Republic,Ethereum,2018-08-31 00:00:00,2018-08-21 00:00:00,4.1,Closed,ICO,2018-11-14 00:00:00,2018-09-26 00:00:00,37,10,0.6486,0.017,0.005,0.978,1.0,808.0,0
1453.0, Elysian,ELY,115443,0.12543800000000002,365,1.43,7.06,-19.71,Belize,Ethereum,2018-06-17 00:00:00,2018-06-04 00:00:00,3.1,Closed,ICO,2018-06-25 00:00:00,2018-06-17 00:00:00,1,13,0.48702,0.07236000000000001,0.03165,0.8960299999999999,100.0,809.0,0
1892.0, Decision Token,HST,8490,8.499999999999999e-05,2,-0.31,0.65,7.0,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Trading,ICO,2017-10-30 03:00:00,2017-10-16 03:00:00,14,0,0.5817399999999999,0.078,0.0152,0.9068,5.0,809.0,0
1396.0, FidentiaX,FDX,144785,6.9e-05,134,-0.19,-5.48,-7.16,Marshall Islands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-12-05 00:00:00,2017-11-06 00:00:00,42,0,-0.4505125,0.078,0.090125,0.832375,8.0,810.0,0
123.0, Populous,PPT,31081953,0.029598000000000006,4691779,-0.7,-0.91,-5.97,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2017-07-25 00:00:00,2017-07-24 00:00:00,9,0,0.5832125,0.02175,0.860375,0.117875,8.0,812.0,0
665.0, Abyss Token,ABYSS,2344974,0.002345,0,-0.2,11.06,196.35,Malta,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,1.7,Trading,ICO,2018-05-16 14:00:00,2018-04-18 14:00:00,30,0,0.7862,0.0,0.997,0.003,1.0,813.0,0
1536.0, Fabric Token,FT,79353,0.001125,0,0.0,0.0,0.0,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2018-04-01 10:00:00,2018-02-15 10:00:00,7,0,-0.465025,0.07,0.86175,0.0685,4.0,819.0,0
332.0, Blackmoon,BMC,8716078,0.012921,427528,1.0,-0.02,-8.71,Cyprus,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-09-20 03:00:00,2017-09-12 03:00:00,31,0,0.0,0.0,0.0,0.0,0.0,821.0,0
517.0, DATA,DTA,3926091,0.045663,146007,-1.35,1.7,5.36,Sweden,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Closed,ICO,2018-04-26 12:00:00,2018-03-15 12:00:00,31,0,0.598152174,0.054782609,0.83826087,0.107,46.0,821.0,0
36.0, Holo,HOT,171969043,0.28565999999999997,20011107,-1.93,-5.29,-7.94,Gibraltar,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2018-04-28 10:00:00,2018-03-29 10:00:00,1,0,0.7294196079999999,0.017843137,0.9040980390000001,0.07807843099999999,51.0,822.0,0
919.0, ADAMANT Messe...,ADM,897354,0.002187,442,-0.17,-10.85,-9.35,Ireland,Own Blockchain,2018-01-25 00:00:00,2017-12-14 00:00:00,4.6,Closed,ICO,2018-06-30 23:59:59,2018-01-30 00:00:00,42,42,0.11904166699999999,0.072166667,0.852833333,0.07475,12.0,823.0,0
1489.0, Centauri,CTX,95994,0.000624,263,-0.18,3.03,-2.9,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-10-29 00:00:00,2017-09-29 00:00:00,28,0,0.0,0.0,0.0,0.0,0.0,823.0,0
