rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration
435, Dock,DOCK,"5,480,505",0.009909,"1,325,798",-0.97,-1.89,-6.92,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,dock.io,ICO,2018-02-21 00:00:00,2018-02-08 00:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000
437, Odyssey,OCN,"5,406,679",0.000809,"376,062",-0.31,0.79,-2.60,Malta,Stellar,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,Poseidon,ICO,2019-03-24 00:00:00,2019-02-16 12:00:00,35 days 12:00:00.000000000,0 days 00:00:00.000000000
439, SIX,SIX,"5,395,778",0.019709,"879,177",-0.3,-0.81,-5.01,Thailand,Stellar,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Closed,SIX.network,ICO,2018-05-31 04:00:00,2018-04-03 04:00:00,58 days 00:00:00.000000000,0 days 00:00:00.000000000
440, Flash,FLASH,"5,382,910",0.005981,45,-0.21,89.44,56.25,Liechtenstein,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,Flashcoin,ICO,2016-12-23 00:00:00,2016-11-27 00:00:00,26 days 00:00:00.000000000,0 days 00:00:00.000000000
444, SONM,SNM,"5,289,508",0.014709,"441,483",-7.66,-0.26,11.94,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,SONM Network,ICO,2017-07-25 12:00:00,2017-06-25 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
445, Amoveo,VEO,"5,287,847",78.56,9,-0.2,-9.81,-13.98,Malta,Ethereum,2018-07-01 21:00:00,2018-06-14 12:00:00,3.7,Closed,Veio,ICO,2018-09-01 21:00:00,2018-07-30 12:00:00,33 days 09:00:00.000000000,17 days 09:00:00.000000000
446, DAO.Casino,BET,"5,285,590",0.031599,"19,212",0.68,-6.79,-11.04,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,DAO.casino,ICO,2017-07-26 16:00:00,2017-06-29 16:00:00,27 days 00:00:00.000000000,0 days 00:00:00.000000000
447, DeepBrain Chain,DBC,"5,270,656",0.001647,"141,224",-1.08,-5.29,-5.34,Denmark,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Closed,Telegraf Money,ICO,2018-10-24 00:00:00,2017-10-24 00:00:00,365 days 00:00:00.000000000,0 days 00:00:00.000000000
448, Viberate,VIB,"5,251,285",0.027370,"2,403,758",-2.19,3.36,10.34,Slovenia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Closed,Viberate,ICO,2017-09-05 14:20:00,2017-09-05 14:00:00,0 days 00:20:00.000000000,0 days 00:00:00.000000000
450, OAX,OAX,"5,213,302",0.069390,"123,944",-0.53,-3.75,-8.71,China,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,openANX,ICO,2017-07-04 03:00:00,2017-06-22 08:00:00,11 days 19:00:00.000000000,0 days 00:00:00.000000000
451, Melon,MLN,"5,196,427",4.16,"12,004",-0.29,1.3,-3.39,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,Melon,ICO,2017-02-16 00:00:00,2017-02-15 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
452, Genesis Vision,GVT,"5,185,473",1.17,"623,106",-0.16,1.54,4.73,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Genesis Vision,ICO,2017-11-15 12:00:00,2017-10-15 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
454, doc.com Token,MTC,"5,132,595",0.007106,"25,712",-1.13,-5.64,-15.21,Mexico,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,Docademic,ICO,2018-02-28 00:00:00,2018-01-29 00:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
455, DigitalNote,XDN,"5,122,449",0.000695,"1,476",-0.22,8.83,8.11,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Closed,DigitalNote,ICO,2017-06-30 13:00:00,2017-06-09 13:00:00,21 days 00:00:00.000000000,0 days 00:00:00.000000000
