country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
Nigeria,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.6,Trading,Bolenum,ICO,2017-08-14 23:59:59,2017-07-15 00:00:00,30 days 23:59:59.000000000,0 days 00:00:00.000000000
Switzerland,Bitshares,2017-12-15 12:00:00,2017-12-15 12:00:00,1.9,Trading,Blockpay,ICO,2016-09-15 00:00:00,2016-08-23 00:00:00,23 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Closed,BlockRx,ICO,2018-01-31 00:00:00,2017-10-13 00:00:00,110 days 00:00:00.000000000,0 days 00:00:00.000000000
Belize,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Closed,Bits Digit,ICO,2017-08-31 03:00:00,2017-08-01 09:00:00,29 days 18:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.3,Trading,DigixDAO,ICO,2016-03-30 00:00:00,2016-03-29 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000
Russia,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Closed,DentalFix,ICO,2017-09-14 09:59:59,2017-08-13 19:00:00,31 days 14:59:59.000000000,0 days 00:00:00.000000000
China,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Trading,Dent,ICO,2017-07-27 01:59:59,2017-07-12 21:38:32,14 days 04:21:27.000000000,0 days 00:00:00.000000000
Cayman Islands,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Trading,Digital Developers Fund,ICO,2017-10-09 16:00:00,2017-07-10 16:00:00,91 days 00:00:00.000000000,0 days 00:00:00.000000000
Switzerland,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Trading,DECENT,ICO,2016-11-06 00:00:00,2016-09-11 00:00:00,56 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Trading,Decred,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Netherlands,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,Dentacoin,ICO,2017-11-01 12:00:00,2017-10-01 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Closed,DisLedger,ICO,2017-10-31 00:00:00,2017-09-01 00:00:00,60 days 00:00:00.000000000,0 days 00:00:00.000000000
