,Compound,Negative,Neutral,Positive
 Ripio Credit ...,0.53856,0.0356,0.7081999999999999,0.2562
 Ark,-0.021685999999999997,0.03255999999999999,0.95494,0.0125
 DigixDAO,0.211722,0.011240000000000002,0.9118600000000001,0.07690000000000001
 Gatechain Token,0.671925,0.0,0.81825,0.18175
 FunFair,-0.027280000000000002,0.01276,0.98458,0.00266
 Fantom,0.06448,0.0134,0.94574,0.04088
 Enigma,0.053416000000000005,0.03746000000000001,0.9074199999999998,0.055099999999999996
 Aragon,0.01401599999999999,0.01642,0.9578999999999998,0.02568
 Arcblock,0.3614260000000001,0.00094,0.8624600000000001,0.13660000000000003
 Bancor,0.22794,0.036640000000000006,0.8618399999999999,0.10154000000000002
 Power Ledger,0.089996,0.01024,0.94312,0.04668
 Aave,-0.15307600000000002,0.08256000000000002,0.8665999999999999,0.05082000000000002
 CRYPTO20,0.3327233333333333,0.022133333333333335,0.8395333333333335,0.13820000000000002
 Cortex,0.094962,0.03318,0.89692,0.06998000000000001
 Metal,0.03793200000000001,0.030139999999999997,0.92824,0.041639999999999996
 Dent,-0.039434,0.07426,0.8569399999999999,0.06878000000000001
 Robotina,-0.12524,0.038819999999999986,0.9611800000000001,0.0
 Gnosis,0.051372,0.02464,0.94384,0.03146
 CyberMiles,0.027920454545454554,0.04406818181818182,0.9095909090909092,0.046363636363636364
 Bibox Token,0.5249772727272725,0.0,0.828818181818182,0.17118181818181813
 Dentacoin,0.3462939999999999,0.013340000000000001,0.86638,0.12028000000000003
 Fusion,0.018712000000000003,0.0296,0.90962,0.06076000000000001
 Eidoo,0.069994,0.0017599999999999998,0.97254,0.025699999999999997
 Credits,0.38649600000000006,0.021179999999999997,0.7968,0.18201999999999996
 Gas,-0.25601,0.11759999999999998,0.8477799999999999,0.03464
 Celer Network,-0.0478142857142857,0.060714285714285714,0.9002857142857142,0.03885714285714286
 Dimension Chain,-0.15532307692307692,0.07188461538461538,0.8923076923076925,0.03584615384615385
 Bitbook Gambling,0.10806315789473686,0.02157894736842105,0.9201578947368422,0.05826315789473684
 Veritaseum,-0.0625090909090909,0.08118181818181819,0.8529090909090908,0.06581818181818183
 Bankera,0.009290909090909093,0.00890909090909091,0.7063636363636364,0.012
 BHEX Token,0.0,0.0,1.0,0.0
 BQT,-0.011982,0.0196,0.9660799999999999,0.01432
 Santiment Net...,0.10680000000000002,0.01684,0.9407599999999999,0.04242
 BTU Protocol,0.40171999999999997,0.0,0.8794000000000001,0.1206
 Obyte,0.15560399999999994,0.01584,0.8912400000000001,0.09292000000000002
 Apollo Currency,0.16563799999999998,0.00074,0.9489399999999999,0.05032000000000002
 IoT Chain,0.257618,0.023799999999999998,0.86576,0.11048
 BnkToTheFuture,0.4097379999999999,0.00906,0.8414800000000001,0.14948000000000003
 Egretia,0.19506800000000005,0.04532,0.8440199999999998,0.11064000000000002
 Carry,0.1999959999999999,0.0354,0.8741800000000002,0.09036000000000005
 Wagerr,0.3794100000000001,0.02566,0.8306399999999996,0.14365999999999995
 Monolith,0.018237999999999997,0.043720000000000016,0.89654,0.05972
 SingularityNET,0.18565399999999993,0.0015199999999999999,0.92482,0.07365999999999999
 IRISnet,0.12799200000000002,0.0,0.9592799999999998,0.04072
 PlayChip,-0.1366,0.0945,0.9055,0.0
 B2BX,0.0,0.0,1.0,0.0
 ZrCoin,,,,
 MediBloc,0.06845757575757576,0.0023636363636363638,0.9704848484848484,0.027151515151515152
 TenX,0.057095999999999994,0.03252,0.91398,0.0535
 Davinci Coin,-0.228275,0.16625,0.79675,0.037
