rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,Name_y,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts
132, Thunder Token,TT,"28,839,356",0.009938,"2,105,332",-1.74,-4.13,-4.12,Russia,Graphene,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Closed,TravelChain Project,ICO,2018-03-15 00:00:00,2017-12-15 00:00:00,90 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6163930000000001,0.04330999999999998,0.8534899999999999,0.10311000000000003,100
139, Civic,CVC,"26,588,746",0.039685,"2,670,610",0.23,-0.64,-5.45,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,Civic,ICO,2017-06-28 16:00:00,2017-06-21 16:00:00,7 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7957,0.05040000000000002,0.8253,0.1243,10
142, YOU COIN,YOU,"24,800,521",0.059259,"8,997,338",-0.29,-0.6,2.39,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Upcoming,SELFLLERY,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.43523,0.05082999999999999,0.84577,0.10332999999999999,100
143, Ripio Credit ...,RCN,"24,770,914",0.048643,"3,579,835",0.94,0.27,0.03,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.7,Unknown,Readcoin,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.8097549999999998,0.03785,0.8510300000000002,0.11103000000000003,100
144, Ark,ARK,"24,575,622",0.212235,"325,474",-1.25,-3.53,-2.37,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.0,Trading,Ark,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6586,0.03466666666666667,0.87425,0.09116666666666666,12
145, DigixDAO,DGD,"24,526,675",12.26,"356,819",-0.28,-0.88,-6.81,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,DigixDAO,ICO,2016-03-30 00:00:00,2016-03-29 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.42006499999999997,0.03505000000000001,0.90115,0.0638,20
157, Aragon,ANT,"21,546,140",0.711845,"9,601",-0.11,-2.58,-7.94,Spain,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Trading,Aragon,ICO,2017-05-17 13:00:00,2017-05-17 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.4662954545454546,0.032909090909090916,0.9003636363636365,0.06677272727272728,22
159, Arcblock,ABT,"21,005,768",0.213139,"18,126,016",-4.13,4.17,26.39,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Trading,ArcBlock,ICO,2018-02-04 00:00:00,2018-02-03 23:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,-0.987775,0.07925,0.8665,0.053750000000000006,4
162, Bancor,BNT,"20,400,332",0.325945,"5,513,830",-0.15,0.45,0.99,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,BANCOR Network,ICO,2017-06-12 22:00:00,2017-06-12 17:00:00,0 days 05:00:00.000000000,0 days 00:00:00.000000000,-0.03637160493827162,0.014802469135802472,0.9703580246913576,0.014839506172839509,81
166, Power Ledger,POWR,"19,720,175",0.046810,"795,710",0.32,0.74,-3.4,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,Power Ledger,ICO,2017-09-14 06:00:00,2017-08-27 06:00:00,18 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7314540000000003,0.03407,0.8559300000000002,0.10997999999999997,100
167, Aave,LEND,"19,686,543",0.017447,"1,404,001",0.88,8.17,36.69,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,EthLend,ICO,2017-12-09 12:00:00,2017-11-25 12:00:00,14 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7443699999999999,0.040889999999999996,0.8512400000000002,0.10786000000000004,100
172, Metal,MTL,"18,327,298",0.345904,"2,924,099",-0.01,-0.65,-3.64,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Closed,Metal,ICO,2017-06-10 00:00:00,2017-06-09 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.7831070000000004,0.04188999999999998,0.84736,0.11083000000000004,100
174, Dent,DENT,"17,607,816",0.000231,"220,500",-3.08,-3.18,-9.21,China,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,Dent,ICO,2017-07-27 01:59:59,2017-07-12 21:38:32,14 days 04:21:27.000000000,0 days 00:00:00.000000000,0.6814888888888891,0.04444444444444445,0.8582222222222222,0.0971111111111111,9
175, Robotina,ROX,"17,580,976",0.057878,"123,936",-0.25,0.93,1.11,Slovenia,Ethereum,2018-03-21 13:59:59,2018-02-21 14:00:00,4.8,Closed,Robotina,ICO,2018-04-30 13:59:59,2018-03-21 14:00:00,39 days 23:59:59.000000000,27 days 23:59:59.000000000,0.0,0.0,1.0,0.0,0
176, Gnosis,GNO,"17,292,126",15.65,"26,756",-0.28,-1.62,-1.6,Germany,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,Gnosis,ICO,2017-04-14 13:00:00,2017-04-14 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.6153333333333334,0.03411111111111112,0.8867777777777779,0.07922222222222222,9
182, Bibox Token,BIX,"16,131,141",0.150495,"3,238,613",-1.01,-0.61,-2.02,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Bibox,ICO,2017-10-31 22:00:00,2017-10-01 22:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5049470000000003,0.08211,0.031089999999999982,0.8868400000000003,100
183, Dentacoin,DCN,"15,886,123",0.000029,"147,215",-1.73,-2.38,-26.04,Netherlands,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Dentacoin,ICO,2017-11-01 12:00:00,2017-10-01 12:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000,0.0,0.0,0.0,0.0,0
185, Fusion,FSN,"15,607,024",0.441940,"3,023,433",-0.91,-39.47,19.41,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,Fusion,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.34577499999999994,0.0305,0.9159166666666666,0.05350000000000001,12
187, Eidoo,EDO,"15,574,676",0.299809,"204,312",-0.27,0.27,-0.37,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Eidoo,ICO,2017-10-16 22:00:00,2017-10-04 12:00:00,12 days 10:00:00.000000000,0 days 00:00:00.000000000,0.0857,0.015,0.971,0.014,1
188, Credits,CS,"15,503,435",0.083360,"6,963,461",-0.18,-3.6,-2.96,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,CREDITS,ICO,2018-02-28 00:00:00,2018-02-15 00:00:00,13 days 00:00:00.000000000,0 days 00:00:00.000000000,0.860309,0.03066999999999999,0.8624100000000001,0.10686000000000004,100
212, Dimension Chain,EON,"77,744,239",0.317604,"9,262,723",-0.71,1.03,-5.46,Estonia,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Closed,Exscudo,ICO,2017-05-31 12:00:00,2017-04-25 12:00:00,36 days 00:00:00.000000000,0 days 00:00:00.000000000,0.09434,0.032,0.9324,0.035600000000000014,5
218, Veritaseum,VERI,"44,768,330",20.83,"28,531",-0.13,6.82,7.1,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,1.5,Trading,Veritaseum,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.03789999999999999,0.0735,0.877,0.04950000000000001,2
238, Bankera,BNK,"27,674,826",0.001125,"8,074",-0.2,-2.3,4.55,Lithuania,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,Bankera,ICO,2018-02-27 00:00:00,2017-11-27 00:00:00,92 days 00:00:00.000000000,0 days 00:00:00.000000000,0.3567,0.04566666666666667,0.008333333333333333,0.9456666666666664,3
245, BHEX Token,BHT,"22,173,459",0.041728,"2,047,351",-1.03,-2.62,-6.2,United States of America,Ethereum,2018-02-10 23:59:59,2018-01-10 00:00:00,2.4,Closed,BitHub,ICO,2018-03-10 23:59:59,2018-02-10 00:00:00,28 days 23:59:59.000000000,31 days 23:59:59.000000000,0.5049470000000003,0.08211,0.031089999999999982,0.8868400000000003,100
256, Santiment Net...,SAN,"17,784,847",0.283829,461,-0.06,-3.96,-2.53,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,Santiment,ICO,2017-08-04 23:59:59,2017-07-04 15:00:00,31 days 08:59:59.000000000,0 days 00:00:00.000000000,0.748301,0.03829999999999999,0.8615400000000002,0.10013999999999999,100
262, Apollo Currency,APL,"14,432,947",0.000983,"485,357",0.16,-12.42,-24.65,Estonia,Ethereum,2018-07-22 00:00:00,2018-06-25 00:00:00,4.6,Closed,Alt Planet,ICO,2018-08-19 00:00:00,2018-07-23 00:00:00,27 days 00:00:00.000000000,27 days 00:00:00.000000000,0.5282299999999998,0.09203000000000004,0.03797999999999999,0.8699599999999996,100
281, BnkToTheFuture,BFT,"11,849,158",0.016232,"471,925",1.06,0.82,7.46,Australia,,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Unknown,Blockfreight,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.995,0.078,0.042,0.88,1
285, Wagerr,WGR,"11,585,804",0.061854,"20,097",0.03,2.98,-20.44,,Waves,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,Wagerr,ICO,2017-06-25 12:00:00,2017-06-01 12:00:00,24 days 00:00:00.000000000,0 days 00:00:00.000000000,-0.8231,0.069,0.91,0.021,1
286, Monolith,TKN,"11,505,575",0.364165,"16,200",-1.48,-4.04,7.82,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,TokenCard,ICO,2017-05-03 00:00:00,2017-05-02 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.5035666666666666,0.009666666666666664,0.972,0.018666666666666668,3
287, SingularityNET,AGI,"11,491,775",0.021294,"239,258",-0.66,0.42,-2.6,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Closed,SingularityNET,ICO,2018-01-30 17:00:00,2017-12-21 17:00:00,40 days 00:00:00.000000000,0 days 00:00:00.000000000,0.96504,0.1178,0.0162,0.866,5
292, PlayChip,PLA,"11,291,589",0.000806,414,0.04,-6.38,-3.64,Australia,Ethereum,2018-10-31 00:00:00,2018-06-01 00:00:00,5.0,Closed,PlayChip,ICO,2018-11-28 00:00:00,2018-11-21 00:00:00,7 days 00:00:00.000000000,152 days 00:00:00.000000000,-0.0162611111111111,0.02761111111111111,0.9066111111111109,0.06566666666666666,18
296, B2BX,B2B,"10,904,863",0.555526,"39,836",-3.47,3.0,-4.54,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,B2BX,ICO,2017-09-29 12:00:00,2017-09-13 12:00:00,16 days 00:00:00.000000000,0 days 00:00:00.000000000,0.3392551724137931,0.07689655172413792,0.025931034482758627,0.8971034482758621,29
300, ZrCoin,ZRC,"10,534,581",2.30,"35,365",-0.47,-5.94,-14.44,Russia,Waves,2017-09-28 03:00:00,2017-09-28 03:00:00,2.6,Trading,ZrCoin,ICO,2017-06-09 12:00:00,2017-05-11 12:00:00,29 days 00:00:00.000000000,0 days 00:00:00.000000000,0.26135,0.0225,0.919,0.0585,2
302, MediBloc,MED,"10,295,515",0.004336,"10,936",0.0,-0.2,-0.54,Gibraltar,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,MediBloc,ICO,2017-12-15 23:00:00,2017-11-20 13:00:00,25 days 10:00:00.000000000,0 days 00:00:00.000000000,0.306875,0.05012500000000001,0.866625,0.08349999999999999,8
308, TenX,PAY,"10,001,845",0.074089,"921,798",-0.89,4.07,-2.74,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,TenX,ICO,2017-06-27 14:00:00,2017-06-27 13:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.6252960000000001,0.05028999999999998,0.8426700000000001,0.10697000000000001,100
309, Davinci Coin,DAC,"9,974,009",0.002769,"34,542",0.33,-2.01,-2.88,Switzerland,Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Closed,HDAC,ICO,2017-12-22 23:00:00,2017-11-27 09:00:00,25 days 14:00:00.000000000,0 days 00:00:00.000000000,0.3696333333333333,0.019777777777777776,0.9313333333333332,0.04877777777777778,9
312, FirstBlood,1ST,"9,841,794",0.115030,893,0.03,0.9,-6.84,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,FirstBlood,ICO,2016-09-26 00:00:00,2016-09-25 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.2603760000000001,0.028189999999999982,0.9227599999999996,0.049109999999999966,100
