,compound,neg,neu,pos
 Aditus,NA,NA,NA,NA
 FortKnoxster,NA,NA,NA,NA
 Cobinhood,0.0,0.0,1.0,0.0
 Equal,0.9993,0.039,0.879,0.082
 On.Live,NA,NA,NA,NA
 Coinchase Token,0.9994,0.034,0.8,0.166
 GoPower,NA,NA,NA,NA
 View,1.0,0.032,0.754,0.214
 Privatix,0.0,0.0,0.0,0.0
 EXMR,NA,NA,NA,NA
 BioCoin,NA,NA,NA,NA
 HyperSpace,NA,NA,NA,NA
 Suretly,NA,NA,NA,NA
 ClearPoll,NA,NA,NA,NA
 BUZZCoin,NA,NA,NA,NA
 Dether,NA,NA,NA,NA
 Asgard,-0.9927,0.136,0.736,0.128
 Soma,NA,NA,NA,NA
 Invacio,NA,NA,NA,NA
 Atonomi,NA,NA,NA,NA
 CryCash,1.0,0.033,0.757,0.21
 IOTW,0.9607,0.0,0.945,0.055
 DeviantCoin,NA,NA,NA,NA
 Giant,1.0,0.032,0.754,0.214
 SyncFab,NA,NA,NA,NA
 UChain,NA,NA,NA,NA
 Starbase,NA,NA,NA,NA
 EncryptoTel [...,NA,NA,NA,NA
 HeroNode,NA,NA,NA,NA
 DIMCOIN,NA,NA,NA,NA
 FidentiaX,NA,NA,NA,NA
 MetaMorph,NA,NA,NA,NA
 Matchpool,0.9756,0.017,0.94,0.044
 GoldFund,NA,NA,NA,NA
 Bitstar,NA,NA,NA,NA
 iDealCash,NA,NA,NA,NA
 DAV Coin,0.0,0.0,1.0,0.0
 FirstCoin,NA,NA,NA,NA
 Aphelion,NA,NA,NA,NA
 Scorum Coins,NA,NA,NA,NA
 Level Up Coin,0.9882,0.003,0.975,0.022
 WandX,NA,NA,NA,NA
 EventChain,NA,NA,NA,NA
 Transcodium,NA,NA,NA,NA
 Ethouse,NA,NA,NA,NA
 Sp8de,NA,NA,NA,NA
 Chronologic,NA,NA,NA,NA
 Elysian,NA,NA,NA,NA
 Auctus,NA,NA,NA,NA
 Paymon,NA,NA,NA,NA
 Rentberry,1.0,0.033,0.791,0.175
 Advanced Tech...,NA,NA,NA,NA
 Coinlancer,NA,NA,NA,NA
 BlueCoin,NA,NA,NA,NA
 Etheera,NA,NA,NA,NA
 MyBit,NA,NA,NA,NA
 Centauri,NA,NA,NA,NA
 AVINOC,NA,NA,NA,NA
 HyperQuant,0.0,0.0,1.0,0.0
 BLOC.MONEY,NA,NA,NA,NA
 Bonpay,NA,NA,NA,NA
 BitClave,NA,NA,NA,NA
 EveriToken,0.0,0.0,0.0,0.0
 BitRewards,NA,NA,NA,NA
 Adelphoi,NA,NA,NA,NA
 IP Exchange,0.9999,0.036,0.728,0.237
 Alt.Estate token,1.0,0.06,0.755,0.185
 Bee Token,1.0,0.032,0.754,0.214
 Bitcoin Fast,0.0,0.0,1.0,0.0
 GoByte,NA,NA,NA,NA
 Obsidian,NA,NA,NA,NA
