FIPS,food_desert
48201320601,1
48201320602,0
48201320700,1
48201320800,1
48201320900,1
48201321000,1
48201321100,2
48201321200,2
48201321300,0
48201321401,1
48201321402,1
48201321500,0
48201321600,1
48201321700,0
48201321800,1
48201321900,1
48201322000,0
48201322100,1
48201322200,0
48201322600,2
48201322700,1
48201322800,1
48201322900,1
48201323000,1
48201323100,1
48201323200,1
48201323300,1
48201323400,0
48201323500,0
48201323600,2
48201323701,1
48201323702,1
48201323801,0
48201323802,1
48201323900,2
48201324000,2
48201324100,1
48201324200,2
48201330100,2
48201330200,2
48201330301,2
48201330302,2
48201330303,2
48201330400,2
48201330500,2
48201330600,1
48201330700,1
48201330800,2
48201330900,2
48201331100,2
48201331200,2
48201331300,2
48201331400,1
48201331500,2
48201331601,2
48201331602,1
48201331700,1
48201331800,1
48201331900,1
48201332000,1
48201332100,1
48201332200,1
48201332300,2
48201332400,2
48201332500,2
48201332600,2
48201332700,1
48201332800,0
48201332900,1
48201333000,1
48201333100,0
48201333201,1
48201333202,1
48201333300,0
48201333500,1
48201333600,2
48201333700,2
48201333800,2
48201333901,1
48201333902,1
48201334001,1
48201334002,0
48201334003,1
48201334100,2
48201340100,2
48201340201,1
48201340202,2
48201340203,2
48201340301,2
48201340302,2
48201340400,0
48201340500,1
48201340600,1
48201340700,1
48201340800,1
48201340900,1
48201341000,1
48201341100,2
48201341201,2
48201341202,1
48201341301,2
48201341302,1
48201341400,2
48201341501,2
48201341502,1
48201341600,2
48201341700,2
48201341800,2
48201342001,2
48201342002,1
48201342100,1
48201342200,2
48201342300,1
48201342400,2
48201342500,2
48201342700,2
48201342800,2
48201342900,1
48201343000,1
48201343100,1
48201343200,2
48201343301,2
48201343302,2
48201343600,2
48201343700,2
48201350100,2
48201350200,2
48201350300,2
48201350400,0
48201350500,2
48201350601,2
48201350602,2
48201350700,2
48201350801,2
48201350802,2
48201410100,1
48201410200,1
48201410300,0
48201410401,0
48201410402,0
48201410500,1
48201410600,0
48201410701,1
48201410702,0
48201410800,0
48201410900,0
48201411000,0
48201411100,1
48201411200,1
48201411300,0
48201411400,1
48201411501,1
48201411502,1
48201411600,1
48201411700,1
48201411800,1
48201411900,1
48201412000,1
48201412100,1
48201412200,1
48201412300,1
48201412400,0
48201412500,0
48201412600,0
48201412700,1
48201412800,1
48201412900,0
48201413000,1
48201413100,1
48201413201,0
48201413202,0
48201413300,1
48201420100,1
48201420200,1
48201420300,1
48201420400,1
48201420500,2
48201420600,1
48201420700,0
48201420800,1
48201420900,1
48201421000,1
48201421101,0
48201421102,0
48201421201,0
48201421202,0
48201421300,1
48201421401,0
48201421402,0
48201421403,0
48201421500,0
48201421600,0
48201421700,1
48201421800,1
48201421900,1
48201422000,2
48201422100,2
48201422200,1
48201422301,1
48201422302,1
48201422401,1
48201422402,1
48201422500,0
48201422600,0
48201422701,1
48201422702,1
48201422800,1
48201422900,1
48201423000,1
48201423100,1
48201423201,1
48201423202,1
48201423301,1
48201423302,1
48201423401,1
48201423402,1
48201423500,1
48201423600,2
48201430100,2
48201430200,2
48201430300,2
48201430400,2
48201430500,1
48201430600,2
48201430700,1
48201430800,1
48201430900,2
48201431000,1
48201431101,1
48201431102,1
48201431201,0
48201431202,0
48201431301,0
48201431302,0
48201431401,0
48201431402,1
48201431501,1
48201431502,0
48201431600,2
48201431700,1
48201431801,1
48201431802,1
48201431900,1
48201432001,1
48201432002,1
48201432100,0
48201432200,1
48201432300,1
48201432400,1
48201432500,1
48201432600,1
48201432701,1
48201432702,1
48201432801,1
48201432802,1
48201432901,1
48201432902,1
48201433001,1
48201433002,0
48201433003,0
48201433100,1
48201433201,1
48201433202,0
48201433300,1
48201433400,0
48201433501,1
48201433502,0
48201433600,1
48201440100,2
48201450100,1
48201450200,2
48201450300,1
48201450400,1
48201450500,2
48201450600,1
48201450700,2
48201450801,1
48201450802,1
48201450900,0
48201451001,0
48201451002,1
48201451100,1
48201451200,1
48201451300,1
48201451401,1
48201451402,1
48201451403,1
48201451500,1
48201451601,2
48201451602,2
48201451700,1
48201451800,1
48201451901,2
48201451902,2
48201452000,1
48201452100,1
48201452201,1
48201452202,1
48201452300,2
48201452400,1
48201452500,1
48201452600,1
48201452700,1
48201452801,1
48201452802,0
48201452900,1
48201453000,1
48201453100,1
48201453200,1
48201453300,1
48201453401,0
48201453402,1
48201453403,1
48201453501,1
